name	check	run	class	detail
chars	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
chr	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
chunk	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
clamp	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
compose	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
concat	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
connect	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
constant_time_eq	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
contains	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
continue	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
cos	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
count	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
crypto_backend	0	0	RUNS	
ct_eq	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
cyclic	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
declassify	0	1	RUN_REFUSES	ANUBIS_UNSUPPORTED_NATIVE_LOWERING
delete_file	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
domain_hash	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
drop	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
drop_while	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
e	0	0	RUNS	
each	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
ed25519_keygen	0	0	RUNS	
ed25519_public_key	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
ed25519_sign	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
ed25519_verify	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
ends_with	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
entries	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
enumerate	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
